stage,path,component,bit,category
1,0,real,0,silent_bounded_residual
1,0,real,1,silent_bounded_residual
1,0,real,2,silent_bounded_residual
1,0,imag,0,silent_bounded_residual
1,0,imag,1,silent_bounded_residual
1,0,imag,2,silent_bounded_residual
1,1,real,0,silent_bounded_residual
1,1,real,1,silent_bounded_residual
1,1,real,2,silent_bounded_residual
1,1,imag,0,silent_bounded_residual
1,1,imag,1,silent_bounded_residual
1,1,imag,2,silent_bounded_residual
1,2,real,0,silent_bounded_residual
1,2,real,1,silent_bounded_residual
1,2,real,2,silent_bounded_residual
1,2,imag,0,silent_bounded_residual
1,2,imag,1,silent_bounded_residual
1,2,imag,2,silent_bounded_residual
1,3,real,0,silent_bounded_residual
1,3,real,1,silent_bounded_residual
1,3,real,2,silent_bounded_residual
1,3,imag,0,silent_bounded_residual
1,3,imag,1,silent_bounded_residual
1,3,imag,2,silent_bounded_residual
1,4,real,0,silent_bounded_residual
1,4,real,1,silent_bounded_residual
1,4,real,2,silent_bounded_residual
1,4,imag,0,silent_bounded_residual
1,4,imag,1,silent_bounded_residual
1,4,imag,2,silent_bounded_residual
1,5,real,0,silent_bounded_residual
1,5,real,1,silent_bounded_residual
1,5,real,2,silent_bounded_residual
1,5,imag,0,silent_bounded_residual
1,5,imag,1,silent_bounded_residual
1,5,imag,2,silent_bounded_residual
1,6,real,0,silent_bounded_residual
1,6,real,1,silent_bounded_residual
1,6,real,2,silent_bounded_residual
1,6,imag,0,silent_bounded_residual
1,6,imag,1,silent_bounded_residual
1,6,imag,2,silent_bounded_residual
2,0,real,0,silent_bounded_residual
2,0,real,1,silent_bounded_residual
2,0,real,2,silent_bounded_residual
2,0,imag,0,silent_bounded_residual
2,0,imag,1,silent_bounded_residual
2,0,imag,2,silent_bounded_residual
2,1,real,0,silent_bounded_residual
2,1,real,1,silent_bounded_residual
2,1,real,2,silent_bounded_residual
2,1,imag,0,silent_bounded_residual
2,1,imag,1,silent_bounded_residual
2,1,imag,2,silent_bounded_residual
2,2,real,0,silent_bounded_residual
2,2,real,1,silent_bounded_residual
2,2,real,2,silent_bounded_residual
2,2,imag,0,silent_bounded_residual
2,2,imag,1,silent_bounded_residual
2,2,imag,2,silent_bounded_residual
2,3,real,0,silent_bounded_residual
2,3,real,1,silent_bounded_residual
2,3,real,2,silent_bounded_residual
2,3,imag,0,silent_bounded_residual
2,3,imag,1,silent_bounded_residual
2,3,imag,2,silent_bounded_residual
2,4,real,0,silent_bounded_residual
2,4,real,1,silent_bounded_residual
2,4,real,2,silent_bounded_residual
2,4,imag,0,silent_bounded_residual
2,4,imag,1,silent_bounded_residual
2,4,imag,2,silent_bounded_residual
2,5,real,0,silent_bounded_residual
2,5,real,1,silent_bounded_residual
2,5,real,2,silent_bounded_residual
2,5,imag,0,silent_bounded_residual
2,5,imag,1,silent_bounded_residual
2,5,imag,2,silent_bounded_residual
2,6,real,0,silent_bounded_residual
2,6,real,1,silent_bounded_residual
2,6,real,2,silent_bounded_residual
2,6,imag,0,silent_bounded_residual
2,6,imag,1,silent_bounded_residual
2,6,imag,2,silent_bounded_residual
3,0,real,0,silent_bounded_residual
3,0,real,1,silent_bounded_residual
3,0,real,2,silent_bounded_residual
3,0,imag,0,silent_bounded_residual
3,0,imag,1,silent_bounded_residual
3,0,imag,2,silent_bounded_residual
3,1,real,0,silent_bounded_residual
3,1,real,1,silent_bounded_residual
3,1,real,2,silent_bounded_residual
3,1,imag,0,silent_bounded_residual
3,1,imag,1,silent_bounded_residual
3,1,imag,2,silent_bounded_residual
3,2,real,0,silent_bounded_residual
3,2,real,1,silent_bounded_residual
3,2,real,2,silent_bounded_residual
3,2,imag,0,silent_bounded_residual
3,2,imag,1,silent_bounded_residual
3,2,imag,2,silent_bounded_residual
3,3,real,0,silent_bounded_residual
3,3,real,1,silent_bounded_residual
3,3,real,2,silent_bounded_residual
3,3,imag,0,silent_bounded_residual
3,3,imag,1,silent_bounded_residual
3,3,imag,2,silent_bounded_residual
3,4,real,0,silent_bounded_residual
3,4,real,1,silent_bounded_residual
3,4,real,2,silent_bounded_residual
3,4,imag,0,silent_bounded_residual
3,4,imag,1,silent_bounded_residual
3,4,imag,2,silent_bounded_residual
3,5,real,0,silent_bounded_residual
3,5,real,1,silent_bounded_residual
3,5,real,2,silent_bounded_residual
3,5,imag,0,silent_bounded_residual
3,5,imag,1,silent_bounded_residual
3,5,imag,2,silent_bounded_residual
3,6,real,0,silent_bounded_residual
3,6,real,1,silent_bounded_residual
3,6,real,2,silent_bounded_residual
3,6,imag,0,silent_bounded_residual
3,6,imag,1,silent_bounded_residual
3,6,imag,2,silent_bounded_residual
4,0,real,0,silent_bounded_residual
4,0,real,1,silent_bounded_residual
4,0,real,2,silent_bounded_residual
4,0,imag,0,silent_bounded_residual
4,0,imag,1,silent_bounded_residual
4,0,imag,2,silent_bounded_residual
4,1,real,0,silent_bounded_residual
4,1,real,1,silent_bounded_residual
4,1,real,2,silent_bounded_residual
4,1,imag,0,silent_bounded_residual
4,1,imag,1,silent_bounded_residual
4,1,imag,2,silent_bounded_residual
4,2,real,0,silent_bounded_residual
4,2,real,1,silent_bounded_residual
4,2,real,2,silent_bounded_residual
4,2,imag,0,silent_bounded_residual
4,2,imag,1,silent_bounded_residual
4,2,imag,2,silent_bounded_residual
4,3,real,0,silent_bounded_residual
4,3,real,1,silent_bounded_residual
4,3,real,2,silent_bounded_residual
4,3,imag,0,silent_bounded_residual
4,3,imag,1,silent_bounded_residual
4,3,imag,2,silent_bounded_residual
4,4,real,0,silent_bounded_residual
